start	end	text
18406	29149	ご主人様?どこですか?ご主人様?やっぱりいたおはようございますご主人様何してるんですか?こんな真っ暗な部屋で
30905	59296	まだ日も昇ってませんよ。もう少しお休みになっては?そうですか。わかりました。じゃあ、お隣、失礼しますね。いいえ、私もともと早起きですから、気にしないでください。それで?いつからここで泣いてたんです?
62242	88574	わかりますよ、真っ暗でも。何年一緒にいると思ってるんですか?って、冷たいですね。こんな寒いところで、ずっと。ねえ、ご主人様。どうして、こんなところで泣いてるんですか?
91314	118907	目が覚めた時隣に私いましたよね起こしてもらえればいくらでも抱きしめてあげたのにどうして頼ってくれないんですか?はい?またしょうもないことめんどくさいなんて思うわけないでしょもう
123042	147164	ほーら、おいで。いいから。うん。ぎゅー。いつも言ってますよね。私はいつだってご主人様のそばにいたいんです。
148622	176375	楽しい時は一緒に笑って、悲しい時は一緒に泣きたいんです。よく言うでしょ?楽しいことは二人分、悲しいことは半分こって。半分こ、させてください。ね?そう、そうです。いい子ですね。
177961	206399	残りの悲しい気持ち全部出しちゃいましょうよしよしよしよしよしよしよしよしよしよしよしよしよしよし
216692	240085	どうです?私がいた方が、ずっと楽ちんでしょ?そんな調子よく頷いちゃって、どうせまた同じことするくせに。いいんですよ、別に。次はもっと早く見つけてあげますから。
241640	267462	逃げても無駄だってそう思っちゃうくらいすぐピューンって見つけて抱きしめちゃうんですからだからご主人様は思うままに生きてくださいさてお説教も済んだことですしちょっと狭いですけどこのまま横になりましょうか
270577	300524	いいえ、無理に寝なくたっていいんです。泣きたければ泣いて、話したいことがあれば話してください。その心のチクチクが取れるまで、ずーっとそばにいますから。
305553	333907	はい。迷惑なんかかけられてませんよ。大好きな人をこうして抱きしめてるんですから。私は幸せです。愛してますよ。心から愛してます。どうしようもなく大好きです。
336224	363125	どうか健やかに幸せに長生きしてくださいねそれが私にとって何よりの幸せです急ですね確かにでもそれくらい好きなんですよ本当に好きで好きで好きで大好きなんです
366444	390417	ご主人様、顔だけこちらに向けられますか?ありがとうございます。ごちそうさまでした。ん?ああ、いいえ。気持ちが抑えられなくて、つい。もうしないので、許してください。
395595	422682	また、そんな可愛いこと言って。ご主人様が悪いんですからね。ギュー…ん?
424652	447522	眠たくなってきました?ええ、もちろんです。寝るまでちゃんと抱きしめてますから。ん?うん。うん。うん。
451392	480332	どうしたんです?急におしゃべりになっちゃって。お話し足りないですか?あ、もしかして、私が寝るまでって言ったから、寝たら一人になっちゃう、頑張ってお話ししなきゃって不安になっちゃったんですか?そうなんでしょ?もう、かわいいな。
482857	512275	大丈夫私はずっとここにいますよご主人様が寝て起きてん?ああいやとにかくとにかくずーっと一緒です退屈?いやいやまさか可愛い寝顔見ながらにゃにゃふにゃふにゃ
513385	517528	そうですか?いらないですか?別に拗ねてないですけど
552305	578320	くっつけたい?いや、今度は急に甘えてくるんだなーって。あーもう、そんなぷいってしないでください。バカになんてしてないです。ほーら、膨れてないでこっち向いて。
581910	609898	むぎゅーどうです?私のほっぺ、もちもちでしょ?ん?あの…ご主人様がやらせたんですから、何か言ってくれませんか?今のをスルーされるとさすがの私も恥ずかしいというか…ご主人様?ん?ご主人さ…
620930	628068	おやすみなさい、ご主人様。いい夢、見てくださいね。
664308	688919	この体勢だと寝顔見れなくない?え、嘘でしょ?せっかく…えー…いやまぁ…ほっぺぷにぷにできるし…これはこれで?なのか…あ、ごめんなさい。静かにしますね。
787255	787537	いますよ
969837	996647	髪の毛くすぐったご主人様
998187	1018015	ご主人様…
