start	end	text
3682	29500	ブロッコリーペタペタカニ玉ビーフジャーキーアクリル絵の具
36599	59794	ウサギとカメハイビジョンヒツジピーナッツバター非常口
65978	83053	深海魚ルール戦闘力
97130	125483	お腹すいちゃうかな?ご飯?食べ物?宇宙人ビキペディア空洞画バスターミナル
131150	151997	花一文目宝石信用樹林手具ケーブル
169490	186719	チームメイト熱さまシート熱さまシートの在庫そろそろなくなるな買い出しておかな
199223	207644	北海道…電自由…
228367	254354	継ぎ足す継ぎ足し 継ぎ足し秘伝のタレ田植え第一印象生活指導
260412	287737	コカドリストルティーヤチップスお腹すいた
329600	357150	椎茸パセリの天ぷらでまた食べ物食いしん坊みたいですね私ココナッツミルク
360029	360170	お正月
407613	434792	ミステリーサークルくるくるくるくるぽこぽこぽこぽこぽこぽこ発泡うさがりじゃがいも島の
453209	480277	蜃気楼目薬冷凍パスタ意地っ張り気遣い優しご主人様の話になっちゃった
483128	503089	回し蹴りファブリーズ懸賞金袴を着たサンタクローズお正月ウィーパータイム
519730	545427	セブンイレブンサムギタンご主人様コスタリカ海ヘビ一回言った気がするバリエーション
551101	566351	廃棄植物園マグロお刺身キーボードマウス
580750	581189	ちょう…
