start	end	text
3935	31250	これから、催眠に入りやすくなる簡単なリラックス運動を始めます。しばらくの間、立ち上がった状態で行うため、準備はしっかりしてくださいね。イヤホンをつけたまま、プレイヤーをポケットなどに入れましょう。そして、
32272	56714	身の回りを片付けて、手の届く範囲に何も置かず、つまずかない状況を作ってくださいね。照明はつけたまま、簡単に消せる状態にしておいたほうがいいかもしれません。ベッドにもすぐ入れるようにしておいてくださいね。
58718	87038	20秒無音になりますので、その間に準備しておいてください。できましたか?
88953	114805	それでは始めていきます。立ち上がった状態で肩幅くらいまで足を開き、膝は軽く緩めましょう。そのまま両手を前後にぶらぶら振ってみてください。それだけをしばらくの間続けます。
117755	145578	疲れないように、無理のない範囲で、腕を振るときもあまり力は入れず、だらだら惰性で、自動で動いている感覚でやってください。これから、頭を落ち着ける曲を流します。ブラーン、ブラーンと、
147075	172265	前後に手を動かしたまま、音楽にだけ意識を向けていましょう。腕を揺らすごとに肩の力が抜けて、首の血行が良くなり、リラックスしていきます。そう、力を抜いてリラックス。
175102	191393	気持ちよく両腕を前後に揺らせば揺らすほど、効果が増して、催眠に入りやすくなっていきます。しばらくの間、自分の好きなペースで行ってください。
222220	243672	音楽に意識を向けていたからでしょうかいつの間にか少しずつ心が落ち着いてきているのがわかりますかそれだけじゃなく始める前よりなんだか首元がポカポカしてきた感覚もしますね
247029	276127	そうそう、実は音によって人の心が変化するのは当たり前のことなんです。例えば、線路の遮断器が降りる音を聞くと、なぜか不安な気持ちになったりしたことありませんか?逆に、海岸線で波の音を聞いているときは、
277792	292410	不思議と心が選択されるような気がしたことありませんかあなたの身近にあふれる音も普段からあなたの心を変化させているんです
322335	346108	音によって心が落ち着いて、腕を揺らすたびに肩がほぐれて、どんどんリラックスしてきます。心地いい音を聞いていると、心が安らぎますね。体がとてもだらーんとしてきます。
349111	362789	腕を揺らせば揺らすほど力が抜けてリラックス体も心もどんどん催眠に入りやすくなっていきます
395273	423981	そうそうその調子ですそういえばこの音声がどういう内容か知っていますかあなたは完全に力が抜けた状態でベッドに寝転び催眠誘導によってとっても深い場所まで降りていくことになります
426950	454480	脱力して深く落ちれば落ちるほど気持ちよくなるそんな暗示を入れられながら深い深い無意識の底までね落ちる感覚を一度でも実感すると発動する暗示
457362	458743	ああああああ
487107	499572	一生ものになってしまうかもそれでもたとえ取り返しがつかなくなってもこの先が聞きたいんですね
532995	561610	ここまで再生を止めなかったということは理解した上で聞きたいということですね大丈夫わかっていましたよあなたは再生をやめないということええだってあなたはこの作品がどういうものかを知った上で購入したのだから
566948	593519	心の底であなたが本当に求めていたものだから深いところまで落ちてみたい暗示を重ね掛けされて連続絶頂をしてみたいそれを本心から求めているだからあなたは
595561	622608	作品に没入すればするほどどんどん気持ちよくなれる深い場所まで入っていける今までと違うあなたになることができる違いますか?いいえそんなことないですよね
626218	634285	ほら、今まさに、そうなるために腕を揺らし続けているんですから。
662668	687373	腕は揺らし続けていますか揺らし続けるとどうなるんでしたっけそう心地のいいリラックスに入れるんでしたよねもしかしてもうすでに頭が少しぼーっとし始めているんじゃないですか
691158	718726	さあもう少しで終わりですブラーンブラーンと腕を動かしてさっきのお話で少し興奮していてもそれを続けていくとまた心が穏やかになってリラックスに入っていけます
721750	741675	あなたの期待することは、深いリラックスと自然な集中の先にあります。なので、期待が大きければ大きいほど、体と心がリラックスを求めるようになります。
771354	797517	音に心を癒されて、体をほぐすことが、より深く声に没頭することにつながって、気持ちいい催眠状態へと落ちる助けにもなっていくんです。すべては、深く気持ちいいところへ降りるため、
799690	823524	腕を揺らせば揺らすほど深い催眠へと入る準備ができるんでしたよね音に意識を向けるほどよりリラックスできるんでしたよねそのまま続けてゆっくりと体と心を解きほぐしていきましょう
880445	881345	どうですか?
884038	912745	始める前と比べてリラックスできましたか?この運動をする前がどんな状態だったか思い出せますか?もしかしたら人によってはすでに誘導する必要がないほど深く入り始めているかもしれませんね
917529	928396	それでは照明を消してベッドに入りましょう焦らなくていいのでゆっくりやってください
