start	end	text
3937	33107	さてそれでは始めていきますねゆっくりと深く気持ちいい呼吸を続けてくださいそして声に合わせて体の各部位へ意識を向け力を抜いていきましょうまずは両足のつま先に意識を向けて
36581	60178	つま先から力が抜けてくる。スーッと力が抜ける。つま先の力が抜けると、かかとの力も抜ける。かかとの力が抜けたら、足首からも力が抜けてくる。
62552	90890	つま先から足首、その全体から力が抜けて、重くなっていく。足首までの力が抜けると、今度はふくらはぎからも力が抜けてくる。力が抜けて、ずーんと重く、ベッドに沈む。
96655	123796	膝からも力が抜けてくる膝から力が抜けるどんどん抜ける膝の力が抜けると太ももの力も抜けてくる太ももからスーッと力が抜ける力が抜けて重くなる
125934	155098	両足がどんどん重くなってだらーんとベッドに沈み込む両足から力が抜ける力が抜けて重くなるじゅーんと重くなるもう両足に力が入らない両足から力が抜けると
156852	185576	次は腰が重くなってくる。腰からどんどん力が抜けて、ずーんと重くなる。腰がベッドに重く、深く沈んで、さらに気持ちいいリラックスに入っていく。腰の力が抜けたら、背中も重くなってくる。
188183	217487	力が抜けて、背中も深くベッドに沈み込む。力が抜けて、重くなればなるほど、ドローンと深く、ベッドの中へ沈み込む。両足も、腰も、背中も、力が抜け切って、ジューンと重い。
219670	242712	背中の力が抜けたら 両腕からも力が抜けてくる両肩がベッドに重く沈み 力がスーッと抜ける抜けてくる肩の力が抜けると 二の腕の力も抜ける
244185	272671	どんどん力が抜けてくる。そして、二の腕につられて、肘からも力が抜ける。肘の力が抜けたら、手首や手のひらからも、すーっと力が抜けてくる。力が抜けて、ずーんと重くなってくる。
275663	304612	手のひらの力が抜けると、指先一本一本からも力が抜ける。もう指に力が入らない。両腕全体がだらーんと重く、ベッドの上で歯間する。体全体が歯間したら、首からも力が抜けてくる。
306555	334953	首から力が抜ける。どんどん抜ける。支える力がなくなって、頭がズーンと重い。頭が枕に深く沈み込む。そして、顔からも力が抜けてくる。上あご、下あごから力が抜けて、
336525	365863	噛む力が抜ける 抜けてくる顎の力が抜けたら 頬も緩んでくる力が抜けて 顔の筋肉がリラックスする頬の力が抜けると 瞼の奥からも力が抜けてくる
368638	395905	力が抜けて瞼を開けるのが面倒になるそうして深い眠りに落ちそうになると額からも力が抜けてくるさらに頭が枕に重く深く沈み込むどんどん疲れが取れて
397115	425775	心も体もゆったりとしたリラックス状態。たらーんと筋肉がゆるんだ。とても気持ちのいい状態。これだけ深くリラックスできたなら、きっとこの先、あなたは深い催眠の世界へと入っていけます。体は脱力し、
427478	457231	ほとんど力が抜けていると思いますこのままあなたは意識の深いところへ入っていきますこれから軽いイメージをしながらゆっくりと意識を落としていきますああ別にイメージを頑張る必要はありませんよ
459145	488101	音と音楽で補助しますから私の声に合わせてぼーっと軽く想像するだけで構いません水音が聞こえてきましたねコバルトブルーの水が波打ち日の光を鏡のように映し出すなんて
489799	515972	そこまではっきり想像しなくても、なんとなく水の上で漂っているイメージをしながら聞いていてください。海をイメージしてもいいですし、プールでも構いません。お風呂や温泉を想像するのもいいかもしれませんね。
519807	546990	あなたの好きなシチュエーションを想像しましょうその水面に葉っぱが一枚、ひらりと舞い落ちますそう、それが今のあなたぷかぷかと浮かんで、水面に漂っています背中に意識を向けてみましょうか
549613	576824	催眠に入りやすい人なら今の段階でゆらゆらと揺れる感覚を感じている人もいるかもしれませんですがもちろん今はまだわからなくて大丈夫です今はただ水面に漂うイメージをしながら想像していてください
579370	607515	この先もっと深い場所に入った頃にはこんなに降りてきたんだと実感すると思います揺れるたびに次第にあなたはぼーっとしてきます電車のガタンゴトンというゆるい振動あれって結構眠くなりますよね
610255	637296	赤ちゃんをあやすときと同じ揺れというのは心身をリラックスさせる効果があるんですその中でも特に水面に漂うというのは最上級のリラックスを感じられるそうです高級ホテルにプールが併設されているのも
638859	663629	それが理由だったりするのでしょうかそんな話をしている間もあなたはゆったりとした揺れに身を任せていますゆらゆら水面で揺られるたびにあなたは次第にまどろみを感じ
665717	690602	心地のいいリラックスへと入っていきます柔らかいヒレに意識を向けると頭もぼーっとしてきますね眠くなったかと思えばはっと意識が戻ったりするようなそんなうとうとした感覚がしてくるかもしれません
693572	722419	一度その感覚を味わうともうはっきり目を覚ますのは難しくなりますお昼を食べた後暖かい部屋でスーッと眠気が襲ってくるあの感覚繰り返せば繰り返すほどどんどん眠くなってきますよね突然
724660	753013	ふっと意識が消える感覚が来るかもしれませんがもう少しだけ眠気をこらえてイメージを続けてください水面で揺れてただふわふわしていて心地いい心も体もうっとりするようなとてもいい気持ち
755995	782892	深い安らぎに包まれてもう全身に力が入らなくなる背中がなんとなく温かく感じたり手足の感覚がいつもと少し違うそんな気がしませんか?そんな感覚を感じていてもいなくても
784992	812123	すごくリラックスしていてとても気持ちがいいですねだらーんと深く背中に体重を預けていると次第に水中へと体が沈み始める感覚がしてくるかもしれません葉っぱが水中に沈むように
814942	834269	ゆっくりと揺れながら沈むぷかぷかと柔らかい水の中へと沈むまるで綿菓子に包まれていくようなマシュマロを抱いているような
836252	863431	心地いい感触深く沈めば沈むほどさらに体が脱力して心地よくなってくるそしてどんどん何も考えられなくなる全身が柔らかい水に包まれて身も心もリラックス
