start	end	text
12489	31828	もしもーし、もしもーし。ああ、意識が戻ったみたいだね。何度も絶頂して疲れちゃったかな。どう?少しは催眠状態を体験できたかな?
33841	62340	絶頂まで行けなくても普段と違う感覚を感じられたならそれでかなりの前進になったと思うよこういう作品が気に入ったらぜひまた試してくれると嬉しいなそれじゃあ解除を始めていくねさあ一度大きく深呼吸
64236	92551	大きく吸ってゆっくり吐いてスーッと頭の中の霧が晴れて心地いいリラックス状態に入ってくるもう一度大きく吸って
98658	123736	ゆっくり吐いて体全体に爽やかな風が通り抜ける感覚落ち着いて晴れやかな気分になってくるそのままゆったりとした呼吸を続けていてね
126772	153155	まだ心の深い場所にいるから、せっかくだし、一つおまじないをしよっか。深くイメージ。あなたはどんな姿をして、どんな顔をしてる?人によっては、最初から最高の姿に見えることもあるけど、そう見えない人もいる。
155437	174236	今見ているのは、何も脚色していない魂の状態だから。でも、安心して。あなたは今、心の深い場所にいるから、いくらでも変身することができるの。
176185	204832	もし望むなら現実に戻った後も心の中でそのイメージを持ち越すことができるその気持ちのまま理想のあなたを想像して現実のあなたを理想の姿に近づけてもいいし魂のアバターとして架空の人物になりきってもいい
206486	235337	あなたが一番自信と安心を感じられる姿に、あなたにとって魂が輝いていることが一番大切だから。自分自身で最高の状態だと感じられる、それ自体が大事。そう思うことは、現実のあなたにもいい影響をもたらすんだよ。
237889	264822	そして一番大事なのは笑顔笑顔は人と人を近づけてくれる大事なものあなたには笑顔が似合っている?そうそう無理やりにでもいいからにこっと笑ってみよううんうんとっても上手
266308	292378	笑顔でいると、だんだん楽しくなってくるよね。そして、同時に幸せな気分にもなってくる。今は心の深い場所にいるから、それがダイレクトに影響しているんだよ。あなたの真相心理は、今までとは少し変わった。
294855	321322	初めて会った人ともすぐに打ち解けられる素質を持っているし、話をすることも好きだけど、人の話を聞くのも今までより楽しくなっている。どこに行っても心地よく過ごすことができる。自分自身が大好きで、自分自身を大切に思っている。
322940	339342	笑顔が似合う 思い描く限り最高の状態そうだよね心の深い場所に今の状態が定着する そして
340587	367091	同時にスーッと元の意識が戻ってくる体がふわっと浮かぶ感覚とともにどんどん思考がはっきりしてくる心が明るく温かな感覚浮かぶ浮かぶ世界が明るい心地がいい
369778	375555	しばらくそのまま浮上しながら安らぎに浸っていましょう
435181	456017	さあ、もうすぐ現実に到着するよ。これから私が数字を1から10まで数えて、10になって手を叩くと、あなたは残したい暗示以外の全てから解き放たれて、すっきりした状態で、
457227	475688	目を覚ますことができる1頭の中を爽やかな風が吹き抜ける2それは不都合な暗示を頭からスーッと吹き飛ばしていく
477682	479143	3.
479143	487726	同時に思考がさらにはっきりして強い意志が戻ってくる4.
487726	496329	戻ってきた自分の魂が頭と体をコントロールし始める5.
496329	497590	そうやって…
498230	527187	頭と体がリンクし心に活力が生まれてくる6とても晴れやかですっきりした気持ち7安心と幸せに満ちているからどんどん活力が湧いてくる8心の深い場所のイメージに合わせて現実のあなたもこれから幸せになっていくんだよ
528768	550920	9、さあ、10になって手を叩くと、すっきりとした気分で目を覚ますことができる。10、意識が戻って気持ちよく目が覚める。心は穏やかで、とても幸せな気持ち。
552640	582144	この感覚は体にも心の奥深くにもしっかりと刻み込まれたそして現実に戻った後もそのイメージから少しずつ影響を受けて望むあなたへと近づいていくことができるまた精神的に疲れたり嫌な気分になったら遊びに来てね
584307	603342	我を忘れて思いっきり発散するのって大事だからもしまだぼーっとしている場合はもう一度解除パートを聞いたり簡単なストレッチをしてみてねそれじゃあまたね
