start	end	text
3368	29672	作品を聞く前に、まずは深く音を感じるための訓練をしましょう。正面を落としてイヤホンをつけたまま、ベッドにゆったりと寝転んでください。肩の力を抜いて、体と接しない程度に少し両手を左右に広げておいたほうがいいかもしれません。両足も同じように間を空けておきましょう。
31853	54393	それでは、枕に頭を預けて、静かに目を閉じてください。これから始めるのは、深いリラックスに入るための瞑想法です。いろんな音を同時に流し、その中から一つ一つを聞き取り、最後には全てを聞き分けるというものです。
56747	81892	最初はいろんな音が鳴るため、少しうるさく感じたり、落ち着かなかったりするでしょう。ですが、一つ一つの音に集中して聞き入るたび、体から力が抜け、リラックスしていきますので安心してください。リラックスして集中する。その二つが深い催眠へ入るために必要なことです。
83504	112891	また、繰り返し練習することで集中しやすくなったり、不安や怒りなどの負の感情からの切り替えがしやすくなるという効果もあります。単体で聞けるように作っていますので、寝る前など安全な場所・時間帯で普段も続けてみてくださいね。さて、それでは始めていきます。まずは軽く深呼吸。
113474	136807	大きく息を吸ってゆっくり吐いてもう一度大きく息を吸ってゆっくり吐いて少しは落ち着きましたか?
139012	159302	そう 今のような心穏やかなリラックスと自然な集中が大事ですよこれから様々な音を流していきます いろんな音が混ざっているので最初は心がざわざわして落ち着かないかもしれませんでも最初はそれでいいのです
160586	185488	私たちの言う通りに音へ意識を向けていってくださいね一つ一つを聞き分けているうちにどんどん深いリラックスへと入っていけますからまずは水滴が落ちる音だけに意識を向けてください他の音は無視してしばらく水滴の音だけに集中していましょうね
252517	270407	さあ、次は声だけに意識を向けてください。他の音は気にかけず、声を聞き取ることだけに集中してください。なんだか少しずつ体の力が抜けて落ち着いてきたんじゃないですか?
272062	296242	水滴の音だけに集中していると、他の音が少し遠くで鳴っているように感じたかもしれないし、水滴の音だけ近くに感じたかもしれない。どちらでもない場合も、水滴の音が他よりも少し鮮明に聞こえましたよね。リラックスといっても、別に心を無にしなくてもいいんです。
297884	312637	次は、左右に揺れるメトロノームの音だけに集中しましょう。左右に動く音を追いかけるように意識を向けてください。もちろん、それ以外の音は全て無視していいですよ。
376201	401282	また声だけに意識を向けてください音に合わせて頭の中がゆらゆらする感じがしましたかそれとも音を追いかけているうちにだんだんと何も考えられなくなってきたりとか何にせよゆったりと集中していると心が落ち着いてきますよね
402965	431178	それじゃあ、今度は少し小さいパチパチ弾ける焚き火の音だけに意識を向けてください。小さい音を聞き取ろうとすると、集中がさらに深くなります。もしすでに自然に聞き取れているようなら、同時に焚き火が燃えている場面を想像しながら聞くのもいいですね。もちろんその間、その他の音は聞き流してくださいね。
491250	513039	さあ再び声だけに意識を戻してください 焚き火のイメージは浮かびましたかそれとも頭を空っぽにして音を聞くことだけに集中していたのでしょうか どちらにしても小さな音に集中していたから頭の中がすごく静かになっていますね
515220	538432	深く集中するとイメージが浮かぶ人もいれば、それ以外のことが考えられなくなり、ぼーっとしてしまう人もいます。あなたはどちらのタイプでしたか?ああ、もちろん、どちらでも大丈夫です。それは深いリラックスに入った証拠なので、そのまま聞き入っていてください。
541739	556337	さて、次は鳥の鳴き声だけに意識を抜けてください。小さい音に集中した後はランダムな音に耳を傾けましょう。朝焼けの森の中にいる気持ちでリラックスしましょうね。
616048	645169	また声だけに意識を向けてください集中が深くなればなるほどどんどん心が落ち着いてきますねこの体験を繰り返せば繰り返すほど音に対する感度は上がっていきますリラックスしていると物事に没頭することができますよねそして意識を向ける音を変えてもあなたはリラックスを維持できている
646538	670395	それは始めた時よりも意識の切り替えがうまくなっているということ。続ければ続けるほど、これは心と体に染み付いていきます。さあ、それでは静かに鳴いている虫の声だけに意識を向けてください。静まり返った夜の森をイメージしてもいいですね。
672070	679387	鳥の声の爽やかで明るい朝のイメージから静かで落ち着いた夜のイメージに切り替えていきましょう
742122	762110	そのまま虫の声に意識を向けながら聞いてください。そういえば、いろんな音が混ざっていても心がザワザワしなくなっていますね。始めた頃と違ってずいぶん落ち着いて音を聞いていられるようになったのに気づきましたか?
764188	785010	さあ、これで最後です。しばらくの間、自由にそれぞれの音を聞き分けたり、すべての音に意識を向けたりしてみてください。一つに聞き入って集中しても、すべての音に身を委ねて無心になっても、あなたは心地いいリラックスに入っていけますから。
843864	872378	だいぶ音に集中することになれましたねそしていつの間にか心は深いリラックス状態になっている心地のいい集中だから体から余計な力が抜けてなんだか歯間しているような感じがしますだらーんとしてとてもいい気持ち味わえば味わうほどますます深く
873886	889490	早く心地のいい状態へとなっていきますこのまま眠る場合は準備を済ませてお休みください本編に進む場合はそのまま耳を済ませていてください
