start	end	text
5992	28991	これから話すのは とある男性が異国の女スパイに操られ彼女の計画に加担させられるお話です私の声に身を任せていれば いつの間にか彼の感覚を追体験できるようになっています
32145	59810	もしかしたら結果君の性癖も歪んでしまうかもしれないけどあくまでこの話はフィクションだから安心してそれでも心配になったり君の生活に望まぬ影響が出てしまったら完全解除の音声を聞くこと
64268	91857	それじゃあ 始めていくね主人公は売れっ子の催眠音声サークル運営者 個人で台本執筆編集 販売等を行っていますある日ある新人声優から 作品に出演したい旨のメールが来たところから
92735	121578	物語は始まります彼はその名前に聞き覚えがありました信頼しているスタジオのエンジニアが最近絶賛していたからです催眠音声の出演経験もあり少し前にはとあるセミナーの音声も担当しておりその内容が素晴らしかったのだとか
124203	150203	しかし実のところはその新人声優というのはヒプノトランス連邦という国のスパイでした彼女は事前にそのスタジオエンジニアを老落し推薦しておくように手配していたのですそんなことは全く知らない彼は
151203	177496	彼女を自分の催眠音声の声優として起用しました。収録当日、いつものスタジオで顔合わせした彼は、その美貌と美声に驚くこととなります。また彼女はその演技力も素晴らしく、あっという間に彼の用意した台本を演じ切りました。
179978	208277	当然といえば当然です彼女は母国の特殊訓練をくぐり抜け常日頃から演技をしているスパイなのですから収録が済んだ後彼女は自分の書いた催眠誘導の台本を読むから聞いてほしいと妙なことを言い出しました
210711	232387	自分でもサークルを作って催眠音声を出したい。だから私が作った台本の内容を聞いてアドバイスが欲しい。とのこと。しかも防音室内で収録しながら実際に催眠をかけたい。
235620	264373	さすがにそれはと照れや恥ずかしさもあって一度は断ったのですがエンジニアが悪ノリしてセットを組んでしまい断れない雰囲気になったため体験することになりました収録ブースで二人きりになると彼は中央に座らされ特殊なマイクを装着させられます
266443	291209	イヤホンの形状をしたマイクで装着者が聞いている声を収録するというもの。一般的にはバイノーラルマイクと呼ばれていますね。彼女は実際に催眠をかけると同時に、自分が催眠をかけている様子を録音し、
292610	320205	後で聞いてブラッシュアップの材料にしたいと説明します。妙な話です。しかし、彼は自ら催眠誘導の台本を書いているため、もちろん知っていました。催眠というのは、自分の嫌な暗示にはかからないものだと、
321965	348247	だから、もし何か不都合な展開があれば、その時に声を上げて中断してしまえばいいだろう。そうです。催眠とは望みを叶えるもの。本当に嫌な暗示は拒むことができるのです。
351251	375240	さて音声を聞いているそこの君君は彼が落ちた道をたどることを望んでいるそうだよねだからもう君が落ちる準備は整っているの
376787	405725	肉体的にも精神的にもねだって催眠とは望みを叶えるものそうでしょこれから聞くのはこの時彼がつけていたバイノーラルマイクで収録された音声それを編集加工して効果を高めたもの
408378	435378	あれ?架空の話じゃないのかって?気にしないで彼になりきって聞けば君の人生にも素敵な変化が訪れるかも最終的に美しい女スパイに人生を捧げることになった彼のようにね
