start	end	text
1218	24993	これからお兄さんが求めている気持ちいいことそれをするために催眠誘導をしていくね催眠の力とお兄さんのイメージの力を使って私の世界へ入っていくそうすることでお兄さんは普段の何倍もの快感を味わうことができる
26717	52698	私、人間さんが幸せになってる姿見るの好きだからさ。お兄さんのことも私が幸せにしてあげる。そのためにもまずは私の世界にお兄さんを招待するね。お兄さんを催眠状態にして私の世界へ連れて行ってあげるの。催眠に入るために必要なこと。
53773	80935	それはお兄さんが私の言葉を信じる気持ち崖と崖の間に谷間が目の前にあって自分では飛び越えられるかなーって疑問に思っていても私が合図をしたら私の声を信じてピョンと飛び越えるそのくらいの信頼関係があると私の言葉とお兄さんのイメージがより深くつながって
82278	108781	より早く、より深く、私の世界に入ることができる。でも、いきなり私に命を預けるくらい信用してとは言わないから、リラックスしながら私の声を聞いて、素直に受け入れてね。それじゃ、私のイメージの世界へ行くための準備をしていくね。
111857	139162	まずは準備としてゆっくりリラックスできるベッドとか布団に寝転がってくれる?そして目をつむって私の声だけ聞いててね今から特別な音を使って君の脳を
140443	166916	イメージの世界へ入りやすくしていくからさっきも言った通り私の言葉を素直に聞いてねヘミシンクって名前がついてる特別な音ここにいるってことは名前くらいは聞いたことあるよね
169607	199156	もしかしたら、ヘミシンク音を聞くこと自体、もう何度目か、かもしれないね。最初は何も感じない音、むしろノイズのように感じるかもしれない。でも、私の声と合わせて、この音を聞き続けていれば、
200744	229345	自然と耳が慣れて、この音が心地よく感じるようになる。心地よく私の声を聞いていれば、私の声とこの音が、やがて君のノウハウを変化させていく。その変化も楽しんでね。
231858	258288	脳波ってスピリチュアル的な印象があるかもしれないけど例えばアップテンポな曲を聴いて気分が上がったりバラードを聴いて心が静まるように音と脳は君が思っている以上に繋がっている感高い声よりも
259679	286231	落ち着いた声の方が心地よく聞こえたり、いろんな音が混ざった騒がしい音よりも、さざ波の音とか風の音みたいな、自然を感じられる音の方がリラックスできる。脳が音の影響を受けるのは当然のことだよね。
288870	312792	こうして私が話している間にも、流れ続けている音が、君の脳を少しずつ変化させている。実際に、脳が痺れるような、いつもと違う頭の感覚になっている。そんな気がする。
315187	341548	よりリラックスできるように深呼吸をしてみようか私が合図を出すけど私の合図に合わせてもいいし君のペースで深呼吸してもいい大事なのは深呼吸をして呼吸をリセットすること
345461	371987	だから意識して深呼吸をしてみて息を吸って鼻から大きく息を吸い込んで息を吐いて口から大きく息を吐く続けていくよ息を吸って
375533	404082	肺いっぱいに空気を吸い込んで息を吐いて肺に溜まった空気を全て出す息を吸って全身に新鮮な酸素が行き渡るのを感じて息を吐いて
407163	433433	代わりに古い空気が出ていくのを感じる息を吸って私の声も全身に行き渡り心地のいい音へと変化していく息を吐いて心が穏やかになる
436073	459603	私の声が 脳に全身に響く息を吸って 息を吸い込むと体が膨張して息を吐いて空気が抜けた風船みたいに体が小さくなる
462215	491279	深呼吸を続けていると、鼓動が落ち着いてきて、体の緊張もほぐれていく。このまま深呼吸を続けて、呼吸だけじゃなくて、体もほぐしていこうね。吸って、ゆったり。
492285	520101	体の筋肉がほぐれていくのを感じる吐いてーこわばっていた体がほぐれて全身がベッドに沈んでいく吸ってー体がじんわり温かくなるのを感じる吐いてー
523401	544749	体の余分な力が抜けていく吸って空気が全身に流れて体の不要なものを古い空気と一緒に運んでいく吐いて
548070	571621	吐く息とともに、体の余分な力が抜けていく。抜けていく。吸ってー。息を吸い込むと、音がぼやーっと広がるように聞こえ。吐いてー。
573385	600474	息を吐くと音が次第に小さくなっているように聞こえるもうだいぶ体の力も抜けてきてるけどもう少し頑張って深呼吸を続けて吸って吐いて
604145	630734	今、大切なのは、深呼吸しながら、心地のいい私の声を聞く。それだけ。それだけを意識して、あと4回。吸ってー。吐いてー。
633535	660697	呼吸と全身が落ち着いて音の聞こえ方も少しずつ変化していく吸ってー吐いてー私の声が心地よく響いて音が君の脳を変化させていく
668512	685345	吸ってー吐いてー変化していく脳に私の声が響いて染み込んで脳に取り込まれて吸収していく吸ってー
696823	719071	吐いてーはい私の合図はこれで終わりゆっくりと呼吸ができるリズムに戻っていく深呼吸をして呼吸をリセットできたから自然とそうなる私の声を聞いて
721554	750260	深呼吸をしているうちに、君は自然と私の声を受け入れるようになっている。そうだよね。私の声は、心地のいい声、心地いい音。だから、自然と受け入れてしまうのは当然のこと。
752632	775538	私の声に意識が向いて、自然と私の声を聞いてしまう。無意識にそういう状態になっている。呼吸はゆっくり、体も力が抜けて、だらーんとして、心地いい。
777674	804943	私の声が言葉が自然と君の脳に入っていく私の声に意識を向けているから後ろで流れている音がいつの間にか変化していることにも気づかなくなっている君の脳が音と調和して
806412	835523	同化していってるってこと君は私の世界へ近づいているってことそのまま私の声を素直に聞いていればもっと心地よく深い深い催眠状態に私の世界に入っていけるからね
840205	866495	次は、もっと体の力を抜いていこうか。深呼吸して、体の力はほとんど抜けているけど、体に意識を向ければ、もっと力を抜くことができる。君は、私の言葉を聞いていればいい。
868765	897865	言われた通りに意識を向けても、向けなくても、全身の力が抜けていくからね。足から力が抜ける。足に残っている力。足首からかかと。足の指先から抜けていく。力が抜けて心地いい。
900004	927616	力が抜けていく感覚は、そのままふくらはぎの方まで広がっていく。ふくらはぎから力が抜ける。力が抜けて、下へ引っ張られるように重く、心地よく緩んでいく。そのまま太ももも楽になっていく。
929518	957518	残っていた力が足の指先へと流れて抜けていき、ふっと消えて、足全体が脱力して、重力に沿って沈み込んでいく。心地のいい脱力感が広がる。心地のいい脱力感はお尻へと広がって、
959418	989210	お尻からも残っていた力が抜けて、静かにほどけていく。お尻全体に力が抜けた、開放感が広がる。そして、腰へとその開放感が届き、腰を支えていた余計な力がほどけて、すっと軽くなる。
991551	1016210	腰から下、下半身すべてがベッドに委ねられ、支えられている安心感だけが残る。背中全体も、すーっと温かく柔らかくほどけていく。背中にあった緊張が、静かにほどけていき、
1018388	1045681	心地よさが背中全体に満ちていく意識を向けて力を抜いても無意識に任せて力が抜けていってもそれはどちらも同じこと今大切なのは体の余分な力を抜くそれだけのこと
1048386	1077770	私の声に身を委ねて、力がもっと抜けていく。ほら、お腹も柔らかく緩んでいく。さっきまで深呼吸で膨らんでいたお腹、今も呼吸を繰り返して、その度に余分な力が外へと押し流されていく。
1080243	1107908	お腹の奥まで、温かく心地のいい感覚が広がっていく。胸にもふわっと心地のいい感覚が広がって、残っていた力が溶け出して、自然に深い安らぎが胸いっぱいに満ちていく。肩も楽になっていく。
1109653	1137970	肩が自然に落ちて、沈み込んで、背負っていた重みが溶けるように消えていく。肩から腕にかけて、すっと力が流れて、余分な力が抜けていく。腕からも力が抜けていく。自分の重みを思い出したように、
1139275	1167282	だらんと垂れ下がり、ベッドへ沈み込んでいく。その重たさも、心地よく感じられる。それは力をすべて手放しているって証。そのまま二の腕も同じようにとろけていく。張っていた糸が切れて、ゆっくり力が抜けていく。
1169506	1194347	力を残しておく必要はない。ただ楽に、重力に、心地のいい音に預けておくだけでいい。手のひらにも脱力が広がって、ポカポカ温かくなっていく。じわじわと余計な力がにじみ出て、
1196513	1219503	手全体が心地よく脱力していく。指先にもその感覚が広がっていく。指一本一本がプツンと糸が切れたように軽くなっていく。小さな力さえも残さずに。
1221071	1250552	全てが解放されていくようでとっても気持ちいい全身に脱力が広がってとっても気持ちいいねあと少し首から上に残っている力も全部抜いていこうね首から力が抜けて緩んでいく頭を支えていた力が抜けて
1252922	1281417	首筋が軽くなる。ただ安心してベッドに頭を委ねる。顔からも力が抜けてほぐれていく。眉も頬も口も。顔全体から自然に力が抜けていく。自然と穏やかな表情になっていく。
1284292	1311353	最後に頭。頭の中からも力が抜けていく。余計な力、考える力も全て抜けて遠ざかっていく。私の声を聞いているだけでいいから、考える力も全部余計な力。
1313708	1335940	だから、全身の力と一緒に君の中から抜けていくの。全身の力が抜けて、とっても心地いい。ふわりと浮かんでいくような心地よさだけが残って、全身脱力している。
1337837	1365918	気持ちいい、心地いい、今はこの心地のいい感覚に身を委ねる。私の声という心地のいい音と、ずっと流れている脳を変える音、その二つの音を聞いて、ただただ心地のいい感覚を味わってる。
1367891	1392505	今でも十分リラックスしているけど、まだ先があるの。ここからさらに深いところへ案内してあげる。私の声を聞いてもっと深く沈んでいける。君は何も考えなくていい。
1394655	1421733	考える力はさっき抜いたから何も考えられない心地のいい私の声を聞き続けるそれだけそれだけでいい考える必要なんてない私が君のことを導いてあげるだからこのまま
1423868	1433028	私の声を素直に聞き続けてさらに深い催眠状態へ入っていこうね
