start	end	text
1252	24382	じゃあ行こっか。散歩だよ散歩。今日はお外に行きましょう。ほら、私この辺詳しくないから、あなたの知っている公園を想像してみて。私は他の人から見えないところで、ちゃんとあなたを見守っててあげるからさ。
26322	53575	ほら、思い出すよね。あなたの知っている公園。小さいのか大きいのか、それはどちらでも構いません。今あなたはそこの公園の中で立っている。何人かの家族連れや子供たちが遊んでいる。声なんかも聞こえてくるかもしれないね。
55306	79368	なんだか懐かしいような、恥ずかしいような、緊張するような、不思議な気分。そしてほら、私があなたの体にあるものをつけたの、思い出すよね。そう、リモコンローター。
83211	112992	ほら、股間に意識を向けてみて。股間に違和感を感じるよね。いつつけられたんだろうね、そんなもの。いやらしい。リモコンローターなんて股間につけて、変態丸出し。頭おかしいんじゃないの?しかも、それつけて外に来たんだよね。
114355	143435	そうでしょ?だって、今日のあなたは変態だから、そういうプレイが大好き。もしかしたら、元からそういうプレイが大好きだったのかもしれないね。マジウケる。けど、股間への圧迫感を感じた瞬間、全身にいやらしい感情が溢れ出す。
144983	174174	ムラムラしてくるしかも今のあなたは私の言う通りになってしまうよねまるであなた自身にリモコンを仕掛けられたみたいに私の言うがまま私がそうしなさいと言ったことには従ってしまうけどそれがまたゾクゾクして
175459	197198	ワクワクしてくる。だってあなたは従うの大好きだもんね。あなたは私についてくれば安心。私の声に従えば従うほど、この世界では気持ちよくなれる。そうでしょ?
199354	213196	まるで誰かと待ち合わせしているかのように、携帯を触ったりして怪しまれないようにしている。けど、嫌でも股間に意識が向いちゃうよね。
215213	244583	股間のところにあるローターの感触。適度に締め付けられて、それだけでも気持ちがいい。仮にそんなところで動かされたら、どうなるんだろうね。今のあなたなら、ローターの音が聞こえるだけで、実際に股間に刺激を感じるの。催眠状態だから仕方ないよね。
246205	275132	その股間の圧迫感が何なのかは、私とあなたしか知らない二人だけの秘密。ほら、まずはちゃんと動くか、テストしてみよっか。あんまりピクってしたらダメだよ。他の人や小さい子供なんかもいるんだからさ。いくよ。動かしちゃうよ。
276419	305473	音が聞こえるだけで、生気に気持ちのいい振動が訪れる。ほーら。どう?ちゃんと動いてるかな?ほら、ちゃんと怪しまれないように立って。けど、ドキドキするよね。他の人がいる中で、ローターを生気に当てられちゃっている。
318851	333018	これは私とあなたのルール遊びにはルールが必要でしょ
335133	363303	そう、私が行ってもいいよ、というまで、あなたはどれだけ気持ちよくても行くことができない。必ずそうなる。で、あれ?これどうやって止めるんだっけ?なんだかボタンを押しても止まらないんだけど。こうかなぁ。
365782	391415	違うな…こうかな?ふぅ…あぁ、これで止まったかな?アハハ、面白いんだね、最近塗って。いろんな振動パターンや強度をいじれるんだ。
393402	415143	遊び方の幅が広がりそうだね。大丈夫、大丈夫。あなたさえしっかりしてくれればバレないよ。そのリモコンローターは振動音が少ないやつだから、仮に音が聞こえても、携帯のバイブ音かなんかと思ってくれるよ。
417618	437296	じゃあ、公園も飽きたし、そのまま他のところにも遊びに行こっか。私がそばについているから大丈夫だよ。こんなところで気持ちよくなるだけじゃつまらないもん。もっと人がいるところに行こうよ。
