start	end	text
1162	27723	うん、やっと来ましたか?待っていましたよ。そろそろ来る頃だと思っていました。そんなに緊張する必要はありません。この世界はあなたにとって必要な場所なんですから。あなたがここに来ることは…
31984	56410	ずっと前からわかっていましたからねそろそろ頃合いかなってもうそんなことはどうだっていいんですそれはおいおい説明するとしてただ私はようやく出会えたことがとても嬉しいんです私?気になりますか?
58553	81841	名前も、正体も。でも、自己紹介は少しだけ後回しにしたくなる。そんな気分なんです。それもおいおい説明しますから。好きな人に意地悪をしたくなるのと同じ。でも、そうですね。
83410	110039	何も言わないのも 今から始めていく事柄に支障をきたすかもしれませんなんといっても 信頼関係が大事ですからねといっても 私には語るような地位も名誉も覚えてもらう名前もあるわけではないんですけどそうですね
111136	138170	あなたを救うヒーローとでも言っておきましょうか。もう半分冗談ですけど、あながち間違いでもありません。今は私が何者かなんて気にしなくてもいいんです。名乗らなくてもいずれわかることですしね。そんなことよりも、あなたと私が出会ったということが何よりも大事なこと。
138794	166003	この出会いは偶然のように見えて必然だったんですあなたはここに来る運命だっただから私はここで待っていたそれだけのことなんですあなたはきっと疲れていたんでしょ?心も体もいつもの生活で張り詰めて落ち着きたくても落ち着けない
167667	196608	現代社会は目まぐるしく動いていますからね休む暇なんてそうそうないでしょうだから私はあなたを楽にしてあげたいんです肩の力を抜いて心の奥から安らげるようにあなたの心と体に溜まった疲れを私が和らげてあげたいなって
198329	226713	そう、催眠を使って、ね。催眠といっても怪しいものじゃないんです。あなたを洗脳したり、無理に操ったりするものではありません。ただ、静かに意識を深い場所へ導いて、本来持っている安らぎを思い出してもらうだけ。眠るのとも違う。
227573	255232	けれど、夢を見ているような心地よさに包まれる。余計な考え事が少しずつ遠ざかって、代わりに静けさが広がっていく。あなたの心を軽くして、今この瞬間を純粋に味わえるようにするためのもの。ね?面白そうでしょ?そして…
256413	283565	今のあなたに必要なこと今のあなたが求めていたものあなたはただ私の声に耳を澄ませるだけでいいんですそうすれば自然とその安らぎの扉が開いていきますからさあ
284729	309785	ゆっくりと始めていきましょう焦りや心配そういったものはこの世界では無縁な存在なのですから私の願いはただあなたに安らぎを与えたいだけなんですそう究極の安らぎ今まで感じたことがないくらい深い
313417	315509	深い世界へ。
