start	end	text
31	20821	私の声聞こえていますか?よく聞いてくださいね今からあなたを深い深い催眠の世界から元の世界へ返してあげるあなたのことを癒すって目的はちゃんと達成できたみたいですね
22559	50268	今日のところは終わりにしますが、あなたがまた私を求めれば、いつでも私はあなたの前に現れます。といっても、いつも私はあなたのそばにいるんですけどね。私の存在を忘れかけたから、いろいろたまってうまくいかなくなって、具現化した私に会いたくなったら、またここに来てくださいね。
51805	78609	それじゃあ目覚める準備をしましょうか 今から1から10まで数を数えていきます数が増えるたびにあなたにかけていた暗示は解け 催眠状態から目覚めることができますよ1 深くまで沈んでいた意識がふわりと浮かび始める2
80363	87886	心地いい風が吹くように、頭のもやが晴れていく。3.
87886	106594	暗示はきれいさっぱりなくなっていく。けど、心には満たされている感覚、充実感や満足感、幸せの感覚は残したままなので、安心して覚醒しましょうね。4.
106594	109415	あなたは形を取り戻して、
109613	135225	自分という存在をしっかり確認できる5 目を覚ましたらあなたは普段通りの生活ができる6 そして次に会うときは今日よりもさらに深い催眠に入ることができる7 あなたの中にあった不要なものは抜け落ちて
136518	150009	さあ、次のカウントで目を覚まそうね。
168112	195038	ジュー!ほら、目が開く。うん、ちゃんと起きることができたね。私の声がちゃんと聞こえている。それが正しい状態。どうですか?少しはすっきりできましたか?少しの時間だったけど、あなたと楽しい時間を過ごせて、私はとても嬉しかったですよ。
196465	224468	はい、一度大きな伸びをしましょう。んーって。起き上がってストレッチをしてもいいかもしれませんね。そう、今日の私の役目はここまでだから、私はおとなしくあなたのそばであなたのことをずっと見守っていることにします。また具現化した私。
224849	231737	無意識に会いたくなったらいつでも会いに来てねそれじゃあまた会う日まで
