start	end	text
1921	10932	お疲れ様でしたはじめまして
11860	36792	アマチハルと申しますはーいお疲れ様でした今収録が終わりましてですねまさに今フリートークを撮っている最中でございます初めてエロトランスさんの催眠音声に出演させていただきました
37409	54993	めっちゃ緊張しためっちゃ緊張したあのどうでしたかあのいろんな場所へ旅行するのは楽しかったですか気持ちよかったですか
55229	74812	どうでしたか?すごくアマチュア的にも感性がどうなるんだろうっていうのがすごいワクワクドキドキしているところでございます
75952	100181	あのね本当にちょっと緊張してしまいましていつも緊張しないみたいな感じに聞こえるかもしれないですけどいつも程よい緊張のもとやってますよはいですごくなんか難しかったんですね私的にねでやっぱ催眠運勢っていうことでやっぱりこうあなたに
104624	116037	聞いていただくことを意識しながらやってはいた
121295	136824	感じにはなります脳が揺れろって思いながらそれはちょっと言い過ぎですかね本当に聞いてほしいなって私の声を聞いてって気持ちでやってましたすごく楽しかったです
138929	160191	ねーあのーこうアマチの中でねエロトランスさんと言ったらこうアマチいつもなんか自分の配信とかでも言っちゃってるんですけどあのーエロトランスさんと言ったら即売買のうりこさんの
161626	172754	イメージなんですよもしかしたら違う方とかがいらっしゃるのかもしれないですけどあのね特に冬
174721	200518	そういうのをコミケとかな?トンソーとかかな?あのーあのねーこうぜひね行ってね並んでねまあねこういう状況がね落ち着いたらですけれどもこうまた即売会とかをやってエロトランスさんがもしいらっしゃってこうこうねあのやる機会があればぜひ
201974	225667	行って聞いてほしいもうねアマチュウもねあれを聞くためだけにねこう並びに行きますもんすいませんあの神父くださいやりに行ってそのこう全て済まして渡される時のあのね言葉をねアマチュウはいつも楽しみにね
225667	237266	コミケを迎えてるのでねぜひね皆さん聞いてほしいあの
241799	267989	それを聞いてアマチュアこれを聞きに来てたんだなって俺もすごいいい気持ちになったよアマチュアって思いながら帰ってください
270335	293377	はいすごいこれをねあのアマちゃんね勝手に自分の配信とかで言ってるんですよすいませんはいなのでねぜひともあのうりこさんに来てほしいだって勝手に思ってるよアマちゃんは
294027	315544	作品の話に戻りますけどアマチュウが催眠音声というものにあまり出演したことがなくてですねそれもあってこう
316927	336644	聞くことはあるのでイメージはなんとなくしてたんですけどどうやって撮ってんだろうっていうところがまずあったのでそういうので一人わたわたとしながら収録しましたのであのーまあ
338290	363590	そういうのもあまちわたふたしてたんやって考えることもなくもうそれも追い払ってくださいそれも追い払ってあのすぐもうこう全身に包まれてあのいっぱい楽しんでください何度も楽しんでくださいはいよろしくお願いします
365594	385784	ご購入いただきありがとうございましたはいっていう感じで緊張したはいアマチュハルでしたとても楽しかったですありがとうございました
