start	end	text
3392	32819	テスト期間が終わり開放感とともにみんな来月の文化祭への期待で浮かれている演劇部の3年である僕も最後の文化祭のため公演する演目について考えながら投稿していたあ、先輩おはようございますやっとテスト終わりましたね先輩はどうでしたか
35168	62462	へーすごーいさすがですねていうか聞いてくださいよ私数学赤点取っちゃって部活のことで頭がいっぱいでテストのことすっかり忘れてたんですよね先生に追試合格しないと文化祭に参加させないって言われましたどうしましょう
64820	90705	なんて嘘ですびっくりしました?心配した顔しちゃって先輩いつも本気で驚いてくれるから面白いですそうそうそれでその文化祭の件なんですけど演目私が推してた恋愛小説を元にするって本当ですか?
92380	115892	はやったー嬉しい 脚本はいつも通り先輩が担当するんですよねぜひ私にも協力させてくださいね 私かなり読み込んでますから任せてくださいあと主人公の後輩ちゃんは 私しかいないですよね
117520	141398	ね先輩からもちゃんと推薦してくださいよ絶対ですよあの子を演じられるの楽しみだなそうそう原作先輩も読みました?すごく良かったでしょ
143618	171529	でも女心に疎い先輩にちゃんと理解できたのかなーなんて後輩ちゃんが好きな先輩の気を引くために色々嘘をついちゃうラブコメ風作品で私が特に気に入ってるのは先輩を騙して催眠術をかけて好きって何度も告白するシーン
173434	196377	素直になれない後輩ちゃんとかなかなか気づいてくれない先輩との関係性とかが今の私に重なるっていうかえ?重なるってどういう意味かって?ふぅーこれだからそういうとこですよ先輩
199279	224991	もし私の思いを伝えたい相手が先輩だったらどうします?なんて嘘ですけどドキドキしちゃいましたか?なんか顔赤くないです?でも先輩演技の方はからっきしだから演じるのは難しいですもんね
228013	246409	いつも通り王子様のマナ先輩にダンスをしてもらうのが良さそうですねファンも多いですしあ、そろそろ授業始まりますねそれじゃあ私先に行きますから配役の件よろしくお願いしますね
262328	282974	あれから一週間ほどがたった。無事に希望通り配役が決まり、僕はいつも通り脚本制作に取り掛かっている。しかし、恋愛を扱った作品は書いたことがなく、筆が思うように進まない。
285768	311075	今日も物語の構想に没頭しながら廊下を歩いていると、突然、背中を指でつつかれる感触を感じた。好きです、先輩。あれ?ドキッとしちゃいました?嘘ですよ、嘘。後半役の演技です。
312700	336788	あの後輩ちゃんもこんな感じで好きな人をからかってるのかなーって焦りすぎ今色々演技プランを考えてるんですけど正直行き詰まっててなのでちょっと相談に乗ってくれませんか?
338493	354447	特に後輩が先輩に催眠術をかけるシーンについて聞いてほしくて私催眠術ってどんなものか気になって勉強してみたんです
356644	378332	でもイメージしづらいんですよね 実際にかかっている人まだ見たことないしだから かけさせてくれませんか先輩に 催眠術先輩も実際に体験しておいた方がリアルな脚本が書けるでしょ
380605	407671	かかる側の感覚もリアルにわかるわけだしねというわけで放課後部室に来てください今日は部活休みの日なんでその分静かで試すにはもってこいだと思うので二人きりって考えるとドキドキしちゃいますね
409377	431010	なんて嘘ですけどじゃあ絶対来てくださいね絶対ですよ放課後僕たちは1時間ほど演劇の内容について話し合った
433036	458778	一段落したところで、事前に言っていた通り、催眠術を試す流れになる。電気を消し、暗幕用のカーテンを下ろし、かなり暗くなった部室。舞台道具のソファーに深く座った僕に、彼女が落ち着いた口調で語りかける。
462702	487507	これからする話は催眠の準備を兼ねるので、ゆったりした姿勢で、ただ私の声を聞いていてください。私、この作品は伝えることの大切さを説いてるって思うんです。言葉は心に作用する。
489132	513649	好きだと言われればその相手のことが気になってくる主人公の後輩ちゃんは気を引くためにいろいろな嘘をついちゃうけど好きって言葉だけはずっと親近でそれがだんだんと伝わっていって先輩にも好意が芽生えていくストーリー
516817	536208	催眠誘導も まずはお互いの信頼関係構築が大事で相手を信頼しているからこそ 言葉に身を委ねたくなるそうですコメディタッチに見えても この作品のコンセプトにすごくマッチしていて
540213	558088	だからこそ二人の関係に進展があった後に強調するように挟まれていると思うんですよねできれば文化祭の公演でもこのシーンを同じように強調するのがいいと思うんです
561194	586133	信頼関係は進んだのに嘘をつきすぎたせいで好きという言葉をいまいち信じてもらえなくなった後輩ちゃんは催眠術をかけることで先輩の方からも好きになってもらおうと計画結果は初めてなのにもかかわらず大成功
587769	616762	でもいざ惚れさせるための暗示をかけようとした時に詰まっちゃうんですよね催眠状態で先輩に好きって言わせたとして私それを本当の気持ちだと信じられるのかな好きって言われてもその度にそれを疑わなきゃいけないのって嫌だな
618859	642568	と、彼女はここで暗示をかけるのをやめちゃうんですよね。代わりに催眠状態の先輩に対して本気の告白を行うことにするんです。必死に溢れる思いをすべて吐き出して、そして暗示でその出来事を忘れさせます。
644917	670020	だってちゃんと目を見て気持ちが本物であることを伝えなきゃ意味がないから最後に目覚めさせた後先輩今度は私ちゃんと伝えられるように頑張りますねって彼女はそう宣言します
671834	692835	ここ2人の転機にもなっていてすごく大事なシーンですよねだからできるだけリアルに演じたいだから脚本でもこだわってほしいんですそのために今から先輩に催眠術をかけさせてもらいます
694285	721587	そうすれば催眠をかける側の気持ちを知ることができるし先輩も催眠をかけられる側の感覚を脚本に反映させることができますよねただ忘れないでくださいね小説の後輩は好きという言葉だけは本心だったけど私の好きは嘘か演技の好きですから
724627	745067	これから物語と同じ手法で催眠をかける過程で何回も先輩に好きって言いますけど勘違いしちゃダメですよ私のこと好きになられてもそれはそれで困っちゃうんでなんて
