start	end	text
7008	31538	うーんまだ意識が朦朧としてますねちょっとやりすぎちゃいました?好きって言うだけですごく反応してくれるから嬉しくなっちゃってでもおかげで登場人物の感情とかもなんかつかめた感じがしますありがとうございます
33273	62442	それじゃあ先輩にかかってる催眠を解除していきますねほらまた好きと言われて意識が気持ちよく沈んでいく感覚が戻ってきますよ好きずーんと眠くなって心地よく力が抜けていく好き
63814	92277	何も考えられないわかるのは好きと言われると意識が消えていくことだけ好き先輩はこの状態が好き私の言葉通りになる感覚が大好きです好き完全に落ちる32
96929	121992	ゼロいい感じですね これで先輩はまた一番深いところに戻ってこれました 今頃深層心理に植え付けられた暗示を取り除いて 先輩を催眠にかかる前の元通りの状態に戻していきます
124125	145266	先輩はただ、私の声を聞いて、私の言葉を受け入れていればいい。いいですね。いきますよ。先輩の意識は先輩だけのものです。
147535	177000	これからは今まで通り自分の行動 や考えは全て自分で決めることができます私に好きと言われても関係ない 先輩の心は先輩だけのものだからこれから私がカウントを1から 10まで数えていって手を叩く
179158	205635	先輩はそのことをしっかりと思い出して、自然に受け入れることができます。私のかけた暗示はすべて嘘になって、先輩を縛ることは一切なくなります。いいですね。はい。12
210478	237249	45678910ほら、目が覚める目が開いて意識がスーッと戻ってきますね
239328	268632	戻ってどんどんはっきりしてきます伸びをしたり首を回してみるのもいいかもしれません周りに気をつけながらね先輩わかりますかうん大丈夫そうですね
271372	290529	改めてになりますけど 催眠中に言ったことは全部嘘ですからね何回も好きって言ったけど 本気にされても困るんでまあ 好きって言ったのが嘘って言葉が
292568	319090	本当は嘘かもしれませんけどなんて何が本当で何が嘘なのかは先輩が自分で判断してください先輩今度は私ちゃんと伝えられるよう頑張りますねあれどうかしましたか
321047	345716	このシーンの最後のセリフですよもしかして何か勘違いしちゃったんですか?もう大事なシーンだって言ったじゃないですかていうかつい1時間ほど前ですよちゃんと覚えててくださいよ脚本担当なんですから
348407	377367	でもいい脚本が書けそうでしょじゃあそろそろ帰りましょうかあそういえば前に数学赤点だったって言ったじゃないですか実はあれも本当でえへへ先輩明日からみっちり勉強教えてくださいねいいでしょ
381270	389823	しばらく放課後は大好きな先輩と一緒で嬉しいですなんて嘘ですけどね
