start	end	text
17530	40261	どうぞ、こっちに来てくださいそのまま、ここに座ってはじめまして
41797	70990	今日からあなた専用の耳なめパートナーになります綾瀬いちかです今回は私を選んでくれてありがとうございますもしかして少し緊張してますか?
74264	99391	そうですよね、私もちょっぴりドキドキしてます。初めての耳なめパートナー。じゃあ最初に、耳なめパートナー制度について説明しますね。
100741	128227	この制度は成績優秀な人に与えられる政府公認のサービスなんですあなたみたいな普段から頑張っている人へのご褒美ですね成績優秀者は好きな人を耳なめパートナーにできますもちろん途中でパートナーを変更することもできますけど
131723	155990	そうならないように、いっぱい頑張りますね。あなたにずーっとご奉仕できるように、いつかいーっぱい準備してきたんですよ。
158977	186193	耳の目はもちろんでちーなこともすっぱいいっぱいんー?どうしたんですか?もしかして想像しちゃいましたか?いちかに
187597	216307	さっきから大きくなってますよバレないようにしててもイチコには怒っちゃいますズボンの中で
219743	241816	おちんちんが膨らんでいて…いちかのおっぱい…最近また大きくなっちゃったんですよね…ちいか…
259720	284163	好きなだけ触ってもいいんですからじゃあそういうわけですからこれからよろしくお願いしますね何かあれば
288408	289351	いつでも呼んでくださいね
