start	end	text
4148	27908	こっちです来てくれてありがとうございますお?なんで校舎裏なんかに呼び出されたのかって?それは…
36602	54976	パートナーになったのに、なかなか連絡が来なかったので、逆に呼び出そうかなって。もしかして、我慢してたんですか?
56720	85385	いつだって呼び出してくれていいんですよいつでもどこでも好きな場所にそれが成績優秀なあなたの特権なんですからじゃあどうして欲しいですか?
89030	113313	またお耳なめしましょうか?それとももっと気持ちいいことしてほしいですか?
118908	139553	いちか、いろいろ勉強してきたって言いましたよね?耳なめのことはもちろんですけど、エッチーなこともいろいろ勉強してきたんですよ。
150083	173270	おっぱい?見たいんですか?もちろん、大丈夫です。あなたになら、いちかのおっぱい、見せてあげます。んーと、じゃあ、
179547	200590	ほら、見ててください…ボタンを一個ずつ外して…と…裏もこのまま…な…
209146	237142	どうですか?いちかのおっぱいは…おっきい?ふふっ、大きさにはちょっと自信あるんですよね、いちか?あなたが気に入ってくれたのなら嬉しいですあ、もちろん誰かに見せたのなんて初めてですからね
243652	263182	見てるだけでいいんですか?いちかのおっぱい好きにしちゃっていいんですよそのまま触るのでもおっぱいチューってするのでも
270571	297048	いきなり、チューって……イチカのおっぱい、どうですか?美味しいですか?
308029	333059	すっごく上手で私これ気持ちよくていちかも耳を気持ちよくしてあげますね
362017	373086	この耳の音集中できないですいちかはもっとご奉仕しなきゃダメなのに
421096	445750	おちいち、もうこっちこっちですね。そんなに苦しそうにして。いちかが、今、楽にしてあげますね。
453310	479618	ズボン…脱がせますね?では…失礼して…んっ…っと…ふぅ…んっ…ふぅ…ふぅ…ふぅ…ふぅ…ふぅ…
480985	506744	立派なおちいちん大きくてたくましくて成績が優秀な人っておちいちんも優秀なんですね今日は
521613	527915	優しく握って…上下に…すこすこって…気持ちよくしてあげますね…
564938	574270	ですか?いちかのおてて…気持ちいいですか?おちいち…
593226	595533	しーこ…しーこ…
634413	662332	またチューチューしますか?いいですよほーらやっぱり上手じゃあいつかもお耳に
689199	705237	はい、チューチューしながら、耳の奥までゆっくり舐められて、おちんちんいっぱい気持ちよくなりましょうね。
776163	777277	あいつかも…
805863	809457	地下の方…むいてもらえますか?
836931	860032	いつか…つい…キスしちゃいました…我慢できなくて…
870545	894710	もっとしたいけど…短くご奉仕しないと…今度は…こっち側の耳の奥を…止めちゃいますね
895570	909863	少しだけ激しくシコシコしますけど、まだまだおっぱいチューチュー楽しんでもらっていいですから。
929287	958683	シンクシンクシンク嬉しいな気持ちいいですか?チューチューしてるお口から
964032	992120	教えてくださいね口が止まってますよ
997520	1022680	いつでも出していいですからねいちかのおててにぴょーっていいですよ、ほら出してください
1028467	1041870	出して 出して 出して
1070159	1095202	腐んでましたね…久しぶりの耳なめだから、たまっちゃってましたか?それじゃあ…おちんちん、綺麗にしますね…顔…
1120531	1141844	これで綺麗になりましたね。
1150602	1168709	おちんちん、ごちそうさまでした。これからは、ムラムラでどうにかなっちゃう前に、ちゃんとイチカを呼んでくださいね。
