start	end	text
11253	37426	まさか保健室を貸し切りにするなんて、大当運ですね。
40799	67396	いいんですよ?それがあなたの特権なんですから。好きな時に、好きな場所で、私を使ってください。ほっ…んー…んー…んー…んー…
69640	94801	ん?どうしたんですか?今日は機嫌がいい?そうですかね?自分ではよく分からないですけど…
99502	127488	最近、いちかを呼び出してくれることが増えたから…かもしれないですね。いちかのご方針、慣れてきましたか?はい。嬉しいです。あなたのお役に立ててるみたいね。どう?それじゃあ…
128358	150421	ご奉仕を……お?はい……今日は、上ですか?……わかりました。もちろん大丈夫ですよ。では、このまま……
162706	176864	鼻隅だーり、お膝の上に塗りましたよーこのまま、敏感なお耳を…
245242	273423	日課のおっぱい…あなたの胸にあたって…それに…お股も…おちんちんに擦れちゃってます…
281219	292120	擦り付けちゃいました…お、お…お、お、お…
306042	334983	パンツ越しにオチオチスイスイしてもいいですけど…せっかくなら直接の方がいいですよね…おっしゃった…いちかのショーツも脱いじゃ…
341041	369010	このままあなたのも流しますねこのままギューッと密着しながら
371606	385642	ごまんこくすりつけて、素敵なお爺にご奉仕しますから、いっぱい気持ちよくなってくださいね。
418469	436460	いちかのおまんこも一緒です
454255	482056	あなたも一緒になってはいる
574186	598132	腰、止まらないでしょ。あなたの気持ちよさそうな声を聞くたびに、嬉しくなっちゃって。ぐちゅぐちゅって、またこすりつけちゃって。
630385	651693	いちこ…もう我慢できないです…おちいち中に入れちゃっていいですか?本当はパートナーってエッチなことしなくてもいいんですけど…
653178	679452	いや、いつかあなたのが欲しくて、もう無理なんです。はい、ありがとうございます。では、おまっこでいっぱいご奉仕させてもらいますね。
684751	710384	お尻を下ろして…あなたのお椅子の中に…全部入って…
712325	735113	おまんこで食べちゃいました
737570	761498	おちいち、すっごくビクビクして喜んでます。じゃあ、動きますからー。んー、んー、んー、んー…
769845	792498	気持ちいい…すごいです…いちか初めてなのにこんなにおちいちで感じちゃって…優秀なあなたのお耳をなめるだけで光栄なのに…
794818	819886	Hまでできちゃうなんて…幸せすぎて…
838904	863850	エッチってこんなに気持ちがいいんですね頭の中がふわふわになってあなたにご奉仕しないといけないのに気持ちくてエッチに夢中になっちゃいそうで
871772	876717	ちゃんと最後まで頑張りますから
926215	931762	もちろん中に出してくださいいつかの中に
1006338	1030942	気持ちよかったですか?はい満足してもらえたなら嬉しいですまた
1031633	1043834	ご奉仕して欲しくなったら、いつでも呼び出してくださいね。いつか、準備して待ってますから。
