start	end	text
10204	30592	あれ?約束してた時間よりも早かったですね?授業が終わったのさっきなのに…そんなにイチカに会いたかったんですか?私もあなたに早く会えて…
45997	54764	ん?どうしたの?って嬉しい時のぎゅーですよ?ぎゅー
75395	104015	もう…最終日なんですよね…ふん…ちゃった…今日のご奉仕を始める前にちょっとだけお話があるんですよね聞いてもらってもいいですか?はい…ありがとうございますそれじゃあ…
106327	133158	あの、このプリント、見てもらえますか?これは、パートナー変更用紙です。一定期間が終了した成績優秀者の方は、パートナーを変更する権利があるんです。なので、いちか以外の女の子をパートナーにしたいなって思ったら、その…
135807	162453	え?私の気持ちですか?私は…その…もちろんずっと、あなたのパートナーでいたいですよ。だって、あなたのこと大好きですから。パートナーとしてだけじゃなく、異性としても好きです。
165119	193385	本当は、ずーっと気持ち抑えてたんですよ。いちかには選ぶ権利なんてないですし。でも、ご奉仕を続けるうちに、どんどんあなたのことを考えるようになって、これからもずーっと一緒にいたいなって思っちゃって。
194853	217482	あなたはどうですか?いちかのこと、おそばに置いてくれますか?このキスは…
226730	255603	これって、いちかを選んでくれたってことですよね。はい、嬉しい。ありがとうございます。いちか、ずっとあなたのおさばでご奉仕続けたいって思ってて。
257999	262893	そんな…すごく今…幸せで…
303809	326039	はぁ…はぁ…はぁ…
328233	355241	あなたに選んでもらえたことが嬉しすぎて私気持ちが抑えられなくてご奉仕じゃない本気のチューしちゃいましたいちかはこれからもずっとずーっと
357376	383313	あなた専属の耳なめパートナーです。大好きなあなたが選んでくれたから、これからも毎日ご奉仕させてもらいますね。お耳、ひくひくしてますよ。ご奉仕って聞いて。
392418	406183	チューして欲しくなったんですか?いいですよたっぷりチュッチュッてしてあげます
433651	452247	体が熱くなってきてるみたい…脱がせてあげながら耳よくペラペラしちゃいますね…ふぅ…
484088	508246	いつ見ても素敵な体ですおちいちんだってもうガッチガチで見てるだけでもうおちいち欲しいです
510348	540267	このままおちいちんくださいいちかのごまんこで早くご奉仕してあげたいんですもうぬれぬれでパンツをつらすだけで入っちゃいますからいいですよねはい
542410	572212	じゃあ、もうそこに座ってもらって…じゃあ、私が膝上に乗って…ぎゅーってしながら…
578147	601480	あくまで入っちゃいましたあなたと深いところで繋がっていちか今とっても幸せです
608408	633748	おちんちん大きいすぐ熱な声が漏れて恥ずかしいから銃で口塞いでください
639053	651760	んー…んー…
683184	685409	んー…
745568	762005	その顔…わかりますよ?こっちの耳も舐めて欲しいんですよね?
794185	812349	大好きなんですね嬉しい私も好き好き好き好き好き好き
829117	848067	好きなあなたの性癖、たっぷり揃えてください。私、みんな気づいてるんですから、いちいちビクビクさせてください。
858745	868153	いつかもごめん
893742	916862	ご視聴ありがとうございました
932510	961012	熱いってきますよね?うちんちんマークの中で大きくなってますこれならぬかつみ
972773	983423	始めましょうか1の2回戦ねお、お、お、お
1015129	1020935	もっと嬉しく僕をついてくれていいんですよ?
1049858	1079693	激しい…来てる…これ…好き…好き…もっと…もっと来て…来てください…
1109512	1137541	好き…好き…いつかまた行く…
1156836	1158837	もくにぃ…
1191760	1220819	なんか…すっごくいっぱい…
1222238	1242183	いつか幸せです…あなたのものにしてもらえた感じがして…
1254215	1274870	いちかをパートナーに選んでくれて、ありがとうございます。本当に好き、大好きです。これからもずっとあなただけにご奉仕しますから、よろしくお願いしますね。
