start	end	text
1855	30093	先輩、いいですか?先輩は感じてはいけません。感じる、というのはもちろん、エッチな快感のことです。わかりましたか?先輩…感じちゃダメ…これから感度を上げますけど、それでも…
30972	59893	気持ちよくなっちゃダメですえ?どうやって体の感度を上げるのか分からないんですか?簡単ですよ今の先輩は私の言う通りになるほら体がジンジンと切なくなってくるそう言われると
61498	90963	体の奥から熱が、疼きが、欲望がじわじわドクドクと湧き上がってきますよね気持ちよくなりたいですよねそう願うほどそして私の言葉を聞くほどに体の感度が上がって
96673	120498	あー体がゾクゾクしてきちゃいましたねダメって言ってるのに私の言葉を聞いて敏感になったおちんちんとか乳首とか前立腺でいーっぱい気持ちよくさせられちゃうこと
121975	146303	想像しちゃダメなんですよもう先輩ったらおちんちん大きくしたらダメですよ私の声を聞くだけで生還体をじんじんさせたらダメですよ
149792	171025	体を熱くさせちゃダメ…想像しちゃダメ…これ以上敏感になっちゃダメ…ダメ…ダメ…ダメなのに…ねぇ先輩…ゾクッとしました?
172284	196608	私の声でゾクゾクすると、もっともーっと感度が上がります。だから、ゾクッとしたらダメなんですよ。まあ、それは置いといて、私はどうして先輩を家に呼んだかわかりますか?
200021	224240	うーん、そうですよね。先輩はこんなこともわからない同感さんですもんね。全部仕返しなんです。あ、ゾクッとしちゃダメって言ったのに。かなり敏感になっちゃってますけど、大丈夫ですか?
226041	243655	だってこれからすっごく気持ちいいことされちゃうのに…感じちゃダメなんですよ?感じちゃダメって言ってるんですから、敏感になるのはダメですよ?
247315	273705	はい、仕返しですおバカで鈍感な先輩には痛い目にいいえ、泣いちゃうほど気持ちいい目に合わせてやりますからねえ先輩、乳首攻めてあげましょうかもちろん感じちゃダメですけど
275987	299140	例えば私は、乳首をクリ、クリ、スリ、スリとか、カリ、カリ、カリ、カリ。そんな感じに乳首を攻めても、先輩は感じちゃダメなんです。
300162	329570	もし、女の子みたいな喘ぎ声が出そうになっても、息をふー、ふーって吐いたりして、感じないように耐えてください。まあ、私が乳首に触れるたび、ピリピリピリーって快感に襲われて、酔いしれるようなすっごい快楽に包まれちゃいますけど。
331341	357227	想像しちゃいました?ダメですよ想像したら私の乳首攻めに期待した先輩の乳首がもーっと敏感になっちゃいますからあ、大事なことを言い忘れてました私が乳首を攻めるほど
359022	385034	先輩は敏感になっちゃいますよ。それではいきますね。乳首の先を触れるか触れないかのソフトタッチで…スリー…スリー…スリー…スリー…あれ?
389571	411646	ねえ先輩…私何度も言ってますけど…感じちゃだーめ…すーり…すーり…すーり…すーり…もう先輩言ったら…声出しちゃいそうなんですか?
413137	430424	もちろん声を出しちゃダメですよ声を漏らすほどエッチな気持ちが高まってもっと乳首が敏感になっちゃいますからそうです
431605	459660	要するに先輩はマゾしか喜ばない高音なプレイに興奮するほど体が敏感になっちゃうんですだから私の言葉でエッチなことを想像しちゃダメエッチな声を出しちゃダメ乳首なんかで感じちゃダメもし声を我慢できなくなっちゃったら
465312	470455	発情したみたいな息を吐いて声を押さえてくださいねすーりすーりすーりすーりほらほらふーふーですよすーりすーりすーり
499168	525142	すーりこんなに感じちゃダメって言ってるんですから感じてなんかないですよねーすーりすーりすーりすーりキュンキュンしちゃいますか?ジンジンしちゃいますか?ねえ気持ちよくなんかないですよねー
528444	555595	じゃあちょっとすごい攻め方しちゃいますね先輩の両方の乳首は優しくつまんでつまんだままグリッグリッん?感じちゃダメですよ感じてませんよね感じれば感じるほど乳首の感度は上がっちゃう
556865	583594	だから感じちゃダメですよ小さくて可愛い乳首をクリクリってつままれるとキューンって快感に襲われちゃいますか?マゾじゃないならこのくらい平気ですよねクリクリクリクリ
584877	610075	くりくりくりくりさっきよりももーっと深くに響くような快感くりくりくりくりあー声出ちゃいますか?感じちゃダメ感じちゃダメダメダメダメなのにー
614622	636640	くり、くり、くり、くり。男の子なんですから、乳首つままれて感じちゃダメですよ。くり、くり、くり、くり。どんどん敏感になっちゃいますよ、先輩。
638222	661463	くり…くり…くり…くり…くり…くり…くり…くり…ところで先輩…私、さっきからたまに…前立腺…って言葉を出してますけど…ねぇねぇ…私の気のせいですかねぇ…
662505	691205	前立腺っていう度に、おちんちんがひくんひくんって動いてますけど。え、気づいてなかったんですか?無意識に動いちゃってましたけど。もしかして、前立腺で感じる手遅れな魔女さんだったりするんですか?
694680	723682	そうですよねー。前立腺なんかで感じるわけないですよねー。んー、だったらそうですねー。先輩の前立腺が、チュン、チュン、ピリ、ピリ。前立腺が疼いて、
724366	748319	おちんちんが…びくん…びくん…なんて…私にそうささやかれただけで…前立腺で気持ちよくなっちゃったりして…でもダメですよ?前立腺で気持ちよくなったりしちゃ…
749417	775942	今の先輩は想像しただけで気持ちよくなっちゃうエッチな体なんですから例えばこんな想像もしちゃダメなんですよ先輩のお尻の穴に私の細い指がぬるぬるーって入って
777367	806807	おちんちんの裏側から前立腺をどんどんあーもう何度言ったらわかるんですか?想像しちゃダメだってどんどんどんどんどんどんされるとじゅわーじわじわーって
808248	835721	おちんちんの奥の方から快感が押し寄せてくるんですよね体中にじわーって広がって奥からダメにしちゃうような強くてどうしようもない快楽が…えへ言葉だけなのにそんなにうずうずしちゃいますか?感じちゃダメなんですよ
837327	866228	だって前立腺の快感は全身に広がっちゃうんですからトントンってするとジンジングワグワトントンって重低温みたいに凶暴な快感が駆け巡るんです暴力的な快感が衝撃波のように伝播するんです
869279	893295	あ、そうでした今の先輩は私の言葉にとーっても影響を受けちゃうんでしたこんな状態で前立腺をトントンされる妄想をしたらすごいことになっちゃうかもあ、ちなみに
901740	922419	それじゃあ前立腺をトントントントンお尻に入れた指をクイッと曲げて前立腺を優しく撫でるトントントントン
926390	950131	すると腰の奥底からジュワージュワワーすごい快感が湧き出るみたいに溢れ出すお尻の中からトントントントンそうされたらおちんちんがうずうずしちゃいますね
952087	980030	優しくトントンされてるから、歯がゆい快感がじゅわじゅわーって染み渡りますね。だけど先輩はいけません。どんなに気持ちよくても行くことはできないんです。トントン、トントン、トン。前立腺から快感が広がる。
980590	1007266	波紋のように、津波のように、快感が全身へ向けて響き渡る。トン、トン、トン、トン。深く、より深くへと、溶かすような、それでいて強い快感が響いていく。トン、トン、トン。
1009843	1036308	頭の中もかき回されるように…前立腺の快感を想像すると…体中に快感が駆け巡る…トントン…トントン…トントン…トントン…トントン…もう…先輩たら…
1037368	1065367	そんなにもどかしそうにしてどうかしたんですか?まさか前立腺なんかで感じちゃったりしてるんですか?普通の人だったら前立腺って聞いてもどんな快感なのか想像すらできないんですよなのに先輩言ったら…いや
1066598	1094510	前立腺で感じてると決めつけるのも良くないですよね先輩なら大丈夫ですよねそもそも私お尻に指を入れることすらしてないんですからもう…切なそうにしてる先輩を見てたら私すっごくエッチな気持ちになってきました
1095674	1124905	先輩が悪いんですからね私を興奮させた先輩が悪いそして私の気持ちに気づかない鈍感さも…はぁ…お仕置き…しましょうかそのもどかしい気持ちもーっと悪化させちゃいます先輩は行くことができません
1127399	1151687	先導目させちゃいます触ってもいないのに先導目なんておかしな話ですけど先輩はメス行きって知ってますか?射精はできないけど腰の奥の方から快感が膨れ上がってびくん
1152448	1180429	鼻管って全身が震えちゃう絶頂のことです女の子の生き方だからメス行きって呼ばれてるんですよ今から私が10カウントダウンすると快感がブクブクと膨れ上がってメス行きする直前で止まるんですそれじゃあカウントダウン開始です10
1181717	1205574	体の中で先輩が勝手に想像した快感がブクブク膨れ上がっていきますよー全立腺トントン気持ちいいですねーキュー左右の乳首をつまんでクリクリクリクリ
1208762	1234457	そんな風に私の言葉に影響されて、先輩の体の奥底からメス行きの気配が膨れ上がっていきます。ハッチ、ドン、ドン、ドン、ドン。私に前立腺を撫でられる妄想をしちゃって、おちんちんがキュンキュン切なくなっちゃう。
1237187	1263139	メス息が近づいてきますね7メス息はまるで水風船みたいにブクブクと膨らんで先輩の体内で肥大化していきます破裂したらどうなるでしょう大きくなればなるほどより激しい飛沫を散らしながら強い衝撃が駆け抜けるでしょうね
1264299	1265880	6.
1265880	1287188	乳首くりくりくりくりくりくりあらら、もじもじしてちゃダメですよ。それって感じてる証拠ですから。感じれば感じるほど、私の暗示は強くなる。5.
1288382	1317040	ねえ、すっかり忘れてるかもしれませんけど、先輩が寝転がってるここ、私のベッドなんですよ。普段後輩が眠りについてる場所で、女の子みたいにはぁはぁ悶えちゃダメじゃないですか。4、はいそうです。
1318103	1344703	感じちゃだめ、悶えちゃだめ。まあ、いくら気持ちよくなったところで、線止めさせちゃうんですけど。3、前立腺トントントントン。切ないですね。全身こんなに敏感で、気持ちよくてどうしようもないのに。
1349882	1364948	あ、そうです。に、先輩、行く直前で、メス行きのことで頭がいっぱいかもしれませんけど、こういうのはどうですか?
1391189	1392075	今度はこっち側です
1423977	1448915	お耳の快感のせいで頭がぽわぽわーってしちゃいますねじゃあ最後は乳首と前立腺で同時に気持ちよくなっちゃいましょうか乳首くりくりくりくり前立腺トントントン
1451618	1477572	首首の快感と前立腺の快感とこれらが激しくぶつまって津波のような快感が出来上がるだけど先輩は行く直前でストップそんな発情したワンちゃんみたいな顔をして
1478922	1507323	メス行き、したかったですか?お預けされて悲しいですか?でも、メス行きしたいと思っちゃダメ?そもそも、私は感じることも許可しちゃません。まぁ、自分が魔女だと認めるなら、最高の絶頂を味合わせてあげてもいいですよ?
