start	end	text
1472	20669	まだ認めたくないですか?へへん、認めたくないけど抵抗できなくて可哀想な先輩のために救済措置を用意しました。一段振りでもいいですよ。
22272	42708	これから私はいーっぱい気持ちよくなっちゃう言葉をかけてあげますけど、強制的に絶頂させるのは勘弁してあげます。つまり先輩は、マゾだと認めたくなければいかないこともできるってことです。
51928	80535	ダメって言われたら、つよつよな先輩は我慢できますよね。ダメって言われてるのに絶頂しちゃうような、弱々な先輩じゃないですよね。ま、でも、言ったフリでもいいんですから。本当に言っちゃったとしても、バレないかもしれませんよ。10
81909	107655	始まっちゃいました…血は…体の奥から快感が波立ち始める…あぁ…体の奥が気持ちいい…言ったふりをしてくださいね数字が小さくなる度にこの快感は勢いを増しながら全身へと染み渡っていきますから
108881	137044	言っちゃダメ男の子なのにメス行きしちゃダメそうだから言ったふりなんですいいですね?キューじわじわじわ快感が波及して徐々に波が大きくなるこのままだとやばいかもですね
138502	167586	想像なんてしちゃダメですよ私の指がお尻の穴にスルスルって入って前立腺をトントンってするところじゅわじゅわじゅわじゅわ想像しちゃダメ後輩の私にイカされちゃいますよ
169752	193612	はーちん。快感が徐々に大きくなる。波風を立ててざわざわと強くなる。順調に向かっていますよー、先輩。気持ちいい、メス一に。だからダメですよー、先輩。乳首で気持ちよくなっちゃった。
195625	210439	なな、それじゃあゆーっくり乳首をすりすり攻めてあげますねーすーりすーりすーりすーり
213435	241006	ねえ、先輩。気持ちよくなっちゃダメですよ。ピリピリ、じわじわっていう快感に注意を向けちゃダメ。もちろん、前立腺の快楽も想像しちゃダメ。6、乳首をゆっくりすりすりすりすり。
242436	268482	前立腺がじゅわじゅわじゅわじゅわ気持ちいいと思っちゃダメ想像しちゃダメ乳首と前立腺の快感が交わってより快感が強くなっちゃうことを想像しちゃダメ5悪天候の荒波みたいに
270138	292224	ざわざわ波が高さを増していくこの波に飲まれたら終わり先輩は乳首と前立腺をキュンキュンさせながら深いメス行きの海に沈んでしまいますだからダメですよ乳首なんかで感じちゃダメ
293365	310462	前立腺の快楽も意識しないようにしないとダメ波に揉まれて体が揺れる快感に揺られて体がほてる感じる気持ちいい
311735	339674	大丈夫ですよ、センパイ。乳首で感じないようにさえすれば、前立腺の気持ちよさを忘れちゃえば、波は徐々に静まりますから。だから想像しないで。3、乳首をゆっくり、すり、すり、すり、すり。
340530	366251	前立腺がじゅわじゅわ感じちゃダメですこのまま波が強くなれば先輩は波に飲まれて絶頂の海に沈んじゃうだから気持ちよくなんかなっちゃダメにもうダメって言ってるのに
367761	390651	考えちゃダメ想像しちゃダメ注意をそらさなきゃ快感に飲まれちゃう感じないようにしなきゃ考えないようにすればするほど快感から目をそらせないですか?ダメなのにダメなのに気持ちよくなったらダメダメダメ
391638	419268	いち、ああ、高い波が迫ってきます。それに飲まれたら終わりですよ。でも、先輩。平気なら、波に飲まれても、行ったふりをするはずです。行ったふり、ですからね。腰を情けなくガクガクさせて、メス行きしたふり。
